SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
AME#06-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,18 in.,28 in.,24 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_8856db74-0a89-4529-8a6b-ea83638e7642_2048x.jpg?v=1670255598,https://parker-house.com/cdn/shop/products/AME_06-COT_room_2048x.jpg?v=1659027202,https://parker-house.com/cdn/shop/products/AME06-COT-dim_2048x.jpg?v=1670255598,https://parker-house.com/cdn/shop/products/AME_06-COT_detail_2048x.jpg?v=1659027202,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_578ff16f-7e1b-4ed6-9c1a-46e6493403d6_2048x.jpg?v=1670255598,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-06-cot
AME#01-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,48 in.,26 in.,18.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_235d3628-8b2e-482a-828b-70da29091ebe_2048x.jpg?v=1670255135,https://parker-house.com/cdn/shop/products/AME01-COT-dim_2048x.jpg?v=1670255135,https://parker-house.com/cdn/shop/products/AME_01-COT_angle_room_2048x.jpg?v=1659110103,https://parker-house.com/cdn/shop/products/AME_01-COT_silo_2048x.jpg?v=1669227361,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_c3f95fd0-e847-4c94-bb35-b6d20125b5d0_2048x.jpg?v=1670255135,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-01-cot
AME#05-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,50 in.,30 in.,19 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_05-COT_angle_front_closed_room_55668f5d-f098-45ab-83d3-deceb5120f2d_2048x.jpg?v=1695756330,https://parker-house.com/cdn/shop/products/AME_05-COT_closed_silo_2048x.jpg?v=1659111780,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_a269f6a3-bf2b-4426-85b5-96eaa9ec661e_2048x.jpg?v=1670255559,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_15096ad4-d6c2-4443-9d97-c7bfbbb4aacd_2048x.jpg?v=1670255559,https://parker-house.com/cdn/shop/products/AME_05-COT_open_silo_2048x.jpg?v=1659111780,https://parker-house.com/cdn/shop/products/AME05-COT-dim_2048x.jpg?v=1670255559,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-05-cot
AME#02-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,24 in.,28 in.,24.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_02-COT_silo_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_af3b8a28-969a-4721-8eae-884e9aabe2a5_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/products/AME02-COT-dim_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/files/AME_02-COT_room_2048x.jpg?v=1695757995,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_ff87f548-c128-41b1-a8d2-f980439bcae5_2048x.jpg?v=1695757995,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-02-cot
AME#09-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,72 in.,21 in.,36 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_58a2aed2-c8f8-4705-a1ab-604eca3a131e_2048x.jpg?v=1695758121,https://parker-house.com/cdn/shop/files/AME_09-COT_back_room_2048x.jpg?v=1695758159,https://parker-house.com/cdn/shop/products/AME09-COT-dim_2048x.jpg?v=1695758121,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_b4aeca65-8b9e-497c-a02c-f325bee17c75_2048x.jpg?v=1695758121,https://parker-house.com/cdn/shop/products/AME_09-COT_back_silo_2048x.jpg?v=1695758121,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-09-cot
AME#09-4-COT,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,72 in.,21 in.,36 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_09-4-COT_back_silo_2048x.jpg?v=1659110449,https://parker-house.com/cdn/shop/products/AME_09-4-COT_lifestyle_2048x.jpg?v=1659110343,https://parker-house.com/cdn/shop/products/AME09-4_63_01-COT_MREE-IND_life_room_2048x.jpg?v=1659110343,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_4bf2e35d-f208-413f-a824-12cf46b87880_2048x.jpg?v=1659110449,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_8e20fda8-24b2-4068-8fe1-892ce274da84_2048x.jpg?v=1659110449,https://parker-house.com/cdn/shop/products/AME_09-4-COT_front_room_2048x.jpg?v=1695756420,https://parker-house.com/cdn/shop/products/AME_09-4-COT_front_silo_2048x.jpg?v=1659110449,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-09-4-cot
AME#06-DEN,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,18 in.,28 in.,24 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_2cd3c1d3-1c5c-4ca8-a8a0-9b799fcbeed8_2048x.jpg?v=1670255640,https://parker-house.com/cdn/shop/products/AME_06-DEN_room_486ed872-97ac-4e6f-b249-d3de23bf932b_2048x.jpg?v=1692721641,https://parker-house.com/cdn/shop/products/AME06-DEN-dim_2048x.jpg?v=1670255640,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_bfe67395-7429-4052-b3ab-eceeb2f052d0_2048x.jpg?v=1670255640,https://parker-house.com/cdn/shop/products/AME_06-DEN_silo_2048x.jpg?v=1639838529,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-06-den
AME#01-DEN,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,48 in.,26 in.,18.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_01-DEN_angle_room_2048x.jpg?v=1639838484,https://parker-house.com/cdn/shop/products/AME_01_DEN_angle_silo_2048x.jpg?v=1639838484,https://parker-house.com/cdn/shop/products/AME01-DEN-dim_2048x.jpg?v=1670255272,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_2048x.jpg?v=1670255272,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_2048x.jpg?v=1670255272,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-01-den
AME#02-DEN,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,24 in.,28 in.,24.5 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_8c5fbe30-6d46-42e5-a2bb-8f119201fa4e_2048x.jpg?v=1670255470,https://parker-house.com/cdn/shop/products/AME02-DEN-dim_2048x.jpg?v=1670255470,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_6ab7562b-e839-4cb6-9cc4-cd21d1216e7e_2048x.jpg?v=1670255470,https://parker-house.com/cdn/shop/products/AME_02-DEN_silo_2048x.jpg?v=1669229658,https://parker-house.com/cdn/shop/products/AME_02-DEN_angle_room_2048x.jpg?v=1639838502,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-02-den
AME#06-DOV,,,,,Parker House,,,,,,,,,,,,,,,,Living Room,Occasional Tables,,,,,Occasional Tables,,,,,,,,,,,,,,,,,,,,,,,,,18 in.,28 in.,24 in.,,,,,,,,,,,,,,,,,,,,,,,https://parker-house.com/cdn/shop/products/AME_LAM_front_sm_89d1853c-476b-4a35-863c-529bdbc1a5b5_2048x.jpg?v=1670255669,https://parker-house.com/cdn/shop/products/AME_LAM_back_sm_dc13b8b5-7b40-4ed3-8baa-a772eb091d7d_2048x.jpg?v=1670255669,https://parker-house.com/cdn/shop/products/AME_06-DOV_room_2048x.jpg?v=1669240277,https://parker-house.com/cdn/shop/products/AME_06-DOV_silo_2048x.jpg?v=1669240294,https://parker-house.com/cdn/shop/products/AME06-DOV-dim_2048x.jpg?v=1670255669,,,,,,,,,,,,,,,,,,,Normal,https://parker-house.com/collections/occasional-tables/products/ame-06-dov
